ID,Title,Repo,Priority,Status,Labels,Description
BE-021,Historico de precios scrapeados,backend,P2,Todo,"backend,feature","Hoy cache/precios.json se sobrescribe. Guardar snapshots en DB para tendencias."
BE-022,Multi-fuente de precios (un scraper por rubro),backend,P2,Todo,"backend,producto","Refactor de services/scraper.js para soportar varios scrapers registrados por categoria."
BE-023,Modelo Suscripcion independiente de Pago,backend,P2,Todo,"backend,refactor","Tabla dedicada con mpPreapprovalId, estado, proximaFactura. No derivar de ultimo pago."
BE-024,Health check mas rico,backend,P2,Todo,"backend,infra","/health hoy solo {ok:true}. Sumar estado cache precios, ping DB, ultimo cron exitoso."
BE-025,Rate limit por usuario no solo IP,backend,P2,Todo,"backend,seguridad","Para /api/chat, contar por electricistaId cuando este logueado."
BE-026,Compactacion de JSON de Claude,backend,P2,Todo,"backend,optim","Usar tool calling para forzar JSON valido y ahorrar tokens."
BE-030,Endpoint /api/categorias/:slug/precios,backend,P3,Todo,"backend,feature","Para que el frontend muestre la tabla CMO entera."
BE-031,Webhook a Slack/Discord en nuevo PRO,backend,P3,Todo,"backend,feature","Notificacion interna cuando se registra un nuevo PRO."
BE-032,Backup automatico de DB a S3,backend,P3,Todo,"backend,infra","Railway tiene backups pero un segundo nivel no hace mal."
BE-033,GraphQL endpoint,backend,P3,Todo,"backend,refactor","Probablemente NO. Over-engineering para esta etapa."
BE-040,Modelo + endpoints de Solicitud (lead matching),backend,P0,Todo,"backend,feature,leads","Schema Solicitud. Endpoints sugerencias, crear, listar panel, aceptar, rechazar, cerrar. Reglas: orden PRO+verificado+rating, hasta 3 destinatarios, expiracion 7d, anti-spam por telefono e IP."
BE-041,OTP por SMS/WhatsApp para clientes,backend,P0,Todo,"backend,feature,leads","POST /otp/enviar y /otp/verificar. Twilio o WA Cloud API (preferido por entregabilidad). Tabla OtpCliente."
BE-042,Modelo Cliente,backend,P0,Todo,"backend,feature,leads","Entidad nueva sin password. Telefono unique normalizado +54. Auth solo OTP por ahora. Se crea/actualiza al verificar OTP."
BE-043,Modelo + endpoints de VerificacionIdentidad,backend,P0,Todo,"backend,feature,verificacion","Schema polimorfico cliente/pro. Pre-signed URLs R2/S3 TTL 5min. Endpoints iniciar, confirmar, estado + admin lista, aprobar/rechazar. Chequeo dniHash duplicado."
BE-044,Storage R2/S3 + pre-signed URLs,backend,P1,Todo,"backend,infra,verificacion","Cloudflare R2 (sin egress fees). Bucket privado, encriptacion at rest. SDK aws-sdk/client-s3. Vars R2_*."
BE-045,Email templates de solicitudes y verificacion,backend,P1,Todo,"backend,infra","solicitud-nueva, solicitud-aceptada, solicitud-rechazada, solicitud-expirada, verificacion-aprobada, verificacion-rechazada."
BE-046,Cron de borrado de imagenes 90 dias,backend,P1,Todo,"backend,compliance","Ley 25.326. Borrar archivos R2 de verificaciones aprobadas hace > 90d. Inmediato 24hs en rechazadas. DB conserva metadata."
BE-047,Migrar verificacion a proveedor KYC,backend,P2,Todo,"backend,verificacion","Cuando volumen > 20/dia. Didit/Veriff/Sumsub/Persona. Costo USD 1-3 por verif. Liveness real."
BE-048,Limitar leads por plan,backend,P1,Todo,"backend,feature,monetizacion","Profesional.solicitudesUsadasMes + reset cron mensual. FREE 3/mes, PRO ilimitado. Si llego al limite, encolar sin notificar."
FE-001,Rebranding cosmetico completo,frontend,P0,Todo,"frontend,rebranding","package.json name, index.html title, hero Home, Header logo, Footer creditos, Registro, renombrar pages/Electricistas.jsx a Profesionales.jsx."
FE-002,README desactualizado y confuso,frontend,P0,Todo,"frontend,docs,bug","Reescribir desde cero. Remover toda referencia a usar Anthropic desde frontend. Sacar VITE_ANTHROPIC_KEY."
FE-003,Pasar el rubro al chat de presupuestos,frontend,P0,Todo,"frontend,producto","Selector arriba del chat con categorias de /api/categorias. Enviar categoriaSlug al backend."
FE-004,Pagina como funciona,frontend,P0,Todo,"frontend,seo","3 pasos clientes y 3 pasos profesionales. SEO + educativo."
FE-005,Terminos y privacidad,frontend,P0,Todo,"frontend,legal","Rutas /terminos y /privacidad con texto plano. Linkear desde footer."
FE-006,Estados de carga y error consistentes,frontend,P0,Todo,"frontend,ux","Componente Loader y ErrorState reutilizables. Reemplazar inline en App.jsx."
FE-010,UI de resenas,frontend,P1,Todo,"frontend,feature","Depende de BE-010. EstrellasRating, ReviewItem, FormReview. Pagina de detalle del pro."
FE-011,Pagina de detalle del profesional,frontend,P1,Todo,"frontend,feature,seo","/profesionales/:id. Nombre, foto, rubro, especialidades, resenas, mapa zona, boton WhatsApp."
FE-012,Login con Google,frontend,P1,Todo,"frontend,feature","Depende de BE-012. @react-oauth/google. Boton en Login y Registro."
FE-013,Mostrar fecha de actualizacion de precios,frontend,P1,Todo,"frontend,producto","Backend ya devuelve _meta.preciosActualizados. Banner debajo del chat con tooltip a la fuente."
FE-014,Dashboard del profesional PRO,frontend,P1,Todo,"frontend,feature","Depende de BE-011. Visitas 7/30 dias, click telefono, comparativa con otros PRO."
FE-015,Confirmacion tras volver de MercadoPago,frontend,P1,Todo,"frontend,feature","Registro.jsx lee ?estado=aprobado. Mensaje exito + refrescar usuario."
FE-016,Validaciones de formulario mas finas,frontend,P1,Todo,"frontend,ux","Validar email/telefono/matricula client-side. Considerar react-hook-form si crece."
FE-020,Optimizar imagenes y assets,frontend,P2,Todo,"frontend,perf","Logo y banners SVG/WebP. Lazy loading en listados."
FE-021,Filtros en URL,frontend,P2,Todo,"frontend,ux,seo","useSearchParams. /profesionales?provincia=cordoba&categoria=plomero abre con filtros."
FE-022,Skeleton loading en listados,frontend,P2,Todo,"frontend,ux","Reemplazar 'Cargando...' por skeletons del shape final."
FE-023,Modal de detalle desde listado,frontend,P2,Todo,"frontend,ux","Click en pro abre modal sin recargar pagina."
FE-024,Tests con Vitest + Testing Library,frontend,P2,Todo,"frontend,calidad","Cobertura minima useChat, AuthContext, BuscadorGeo."
FE-025,Modo oscuro,frontend,P2,Todo,"frontend,ux","Tokens en global.css. Toggle persistido en localStorage."
FE-030,PWA con service worker,frontend,P3,Todo,"frontend,feature","Instalable en mobile. Notificaciones push (fase 4)."
FE-031,Atajos de teclado en el chat,frontend,P3,Todo,"frontend,ux","Submit con Cmd+Enter, navegacion mensajes con flechas."
FE-032,Compartir presupuesto generado,frontend,P3,Todo,"frontend,feature","Link unico o PDF descargable."
FE-033,i18n ingles,frontend,P3,Todo,"frontend,i18n","Solo si vamos a otros paises."
FE-034,Onboarding interactivo para pros nuevos,frontend,P3,Todo,"frontend,ux","Tour guiado tras primer login."
FE-040,CTA + modal Contactar profesional en /presupuesto,frontend,P0,Todo,"frontend,feature,leads","CTA al final del chat. Modal con 3 sugerencias destacadas (foto, plan, badge ✓, rating, distancia). Cliente selecciona hasta 3."
FE-041,Form solicitud + OTP multi-step,frontend,P0,Todo,"frontend,feature,leads","Wizard: datos cliente, mensaje extra, OTP 6 digitos, confirmacion. Pagina /solicitudes/:id/gracias con next steps."
FE-042,Tab Solicitudes en /panel del pro,frontend,P0,Todo,"frontend,feature,leads","Lista con estado (pendiente/aceptada/rechazada/expirada). Card con cliente, categoria, fecha, preview presupuesto. Acciones aceptar/rechazar. Badge contador en header."
FE-043,Wizard de verificacion de identidad,frontend,P0,Todo,"frontend,feature,verificacion","Ruta /verificacion. 3 pasos: DNI frente, DNI dorso, selfie con cartel Profi DDMM. Upload directo a R2/S3 con pre-signed URLs."
FE-044,Pagina /admin/verificaciones,frontend,P1,Todo,"frontend,admin,verificacion","Cola pendientes con miniaturas. Click vista detalle (URLs pre-firmadas TTL 5min). Aprobar/Rechazar. Filtros y badge contador."
FE-045,Badge ✓ azul en listados y perfiles,frontend,P1,Todo,"frontend,verificacion","Componente BadgeVerificado. En listado, detalle, modal sugerencias, header panel. Tooltip 'Identidad verificada por Profi'."
FE-046,Estados de verificacion en panel,frontend,P1,Todo,"frontend,verificacion,ux","No verificada (banner CTA), pendiente (amarillo), aprobada (verde), rechazada (rojo + motivo + reintentar)."
OP-001,Comprar dominio,producto,P0,Todo,"producto,infra","profi.com.ar preferido. Configurar DNS Vercel + opcional api. Railway."
OP-002,Terminos y privacidad,producto,P0,Todo,"producto,legal","Ley 25.326 + AdSense + MP. Plantilla AAIP + adaptar. Idealmente revision abogado."
OP-003,Cuenta de email transaccional,producto,P0,Todo,"producto,infra","Dominio con SPF/DKIM/DMARC. noreply@profi.com.ar. Resend (free 3k/mes) o Mailgun/Brevo."
OP-004,Logo + branding basico,producto,P0,Todo,"producto,branding","Logo SVG. Favicon. OG image 1200x630. Paleta en global.css."
OP-005,Texto/copy de cada pagina revisado,producto,P0,Todo,"producto,copy","Home, Como funciona, Registro (planes), Terminos, Privacidad."
OP-006,Cuenta MercadoPago lista para produccion,producto,P0,Todo,"producto,infra","Verificar MP_ACCESS_TOKEN de produccion. Crear Plan PRO si MP requiere preregistro. Configurar URL webhook en panel MP."
OP-007,Plan de soporte minimo,producto,P0,Todo,"producto,operaciones","Mail + WhatsApp Business publicos. Horario respuesta declarado en terminos (48hs habiles)."
OP-010,Aplicar a Google AdSense,producto,P1,Todo,"producto,monetizacion","Pre-req: dominio + trafico minimo + terminos + sobre-nosotros. Reemplazar AdBanner.jsx con snippet real."
OP-011,Estrategia adquisicion de profesionales,producto,P1,Todo,"producto,growth","Lista gremios/consejos por rubro y provincia. Mensaje outreach. Mes gratis PRO para primeros N."
OP-012,SEO basico,producto,P1,Todo,"producto,seo","robots.txt + sitemap.xml. Meta tags + OG por pagina. Search Console verificado."
OP-013,Analytics,producto,P1,Todo,"producto,medicion","GA4 o Plausible. Eventos: presupuesto_solicitado, pro_perfil_visto, click_telefono, registro_*, pago_pro_completado."
OP-014,Politica de moderacion de profesionales,producto,P1,Todo,"producto,operaciones","Criterios aprobar/rechazar verificacion matricula. Que hacer si reportan a un pro."
OP-015,Plan contingencia scraper roto,producto,P1,Todo,"producto,operaciones","Si HTML de electroinstalador cambia: a quien avisa, en cuanto se arregla. Bandera 'precios desactualizados'."
OP-020,Pagina sobre nosotros / equipo,producto,P2,Todo,"producto,branding","Genera confianza para clientes y pros."
OP-021,Blog / centro de ayuda,producto,P2,Todo,"producto,seo,growth","Articulos tipo 'Cuanto cuesta cambiar un tablero'. SEO + valor educativo."
OP-022,Programa de referidos,producto,P2,Todo,"producto,growth","Pro invita pro y gana mes gratis."
OP-023,Pricing page dedicada,producto,P2,Todo,"producto,seo","Hoy esta en Registro.jsx. Mejor /precios propia para SEO."
OP-030,Newsletter para clientes,producto,P3,Todo,"producto,growth","Articulos tipo 'X cosas que un electricista deberia revisar'."
OP-031,Casos de exito en home,producto,P3,Todo,"producto,branding","Testimonios de pros que estan facturando bien."
OP-032,Verificacion matricula automatica via API consejo,producto,P3,Todo,"producto,verificacion","Cuando exista la API de los consejos profesionales."
OP-040,Terminos y privacidad con DNI/biometria,producto,P0,Todo,"producto,legal,verificacion","Ley 25.326. Datos recolectados, finalidad, retencion (90d aprobada / 24hs rechazada), derechos ARCO, mencion R2 con encriptacion. Plantilla AAIP."
OP-041,Cuenta OTP (Twilio o WhatsApp Cloud API),producto,P0,Todo,"producto,infra,leads","WA Cloud API recomendado (1000/mes free, mejor entregabilidad AR). App developers.facebook.com, verificar numero WA Business, token permanente, template otp_profi aprobado."
OP-042,Cuenta Cloudflare R2 con bucket privado,producto,P1,Todo,"producto,infra,verificacion","Bucket profi-verificaciones privado. Access Key con scope. Lifecycle rule borrar 90d (defensa en profundidad)."
OP-043,Politica moderacion de verificaciones,producto,P1,Todo,"producto,operaciones,verificacion","Criterios: DNI legible, no vencido, selfie matchea, cartel con fecha del dia, dniHash no duplicado. Ejemplos visuales. SLA 48hs habiles."
OP-044,Investigar proveedor KYC fase 2,producto,P1,Todo,"producto,research,verificacion","Comparar Didit, Veriff, Sumsub, Persona. Costo, idioma AR, SDK web/mobile, tiempo respuesta, soporte legal AR."
